date,BRA,IND,ZAF,POL
2020-02-13,1.351190085932807,-1.591946247887331,-1.1028453743833164,0.9490470664495997
2020-02-14,1.2840494236334576,-1.5604721245361957,-1.0913160010938543,0.9372982293620181
2020-02-17,1.3065984472735146,-1.478449967521201,-1.0587605577634316,0.9352001967931955
2020-02-18,1.2559190282045665,-1.511230236735535,-1.088229372620356,0.8987521615928923
2020-02-19,1.282434271071148,-1.4552381951909295,-1.0700122082025225,0.8353172406174713
2020-02-20,1.1646367523800365,-1.2267712655547984,-1.0922519595248195,0.8285043351817637
2020-02-21,1.0963923141688503,-1.1932645638045054,-1.100717246802265,0.8300144758593516
2020-02-24,1.1409951168265617,-1.3021452067971802,-1.6265740997097506,1.2496627758329817
2020-02-25,1.2474399740662083,-1.2611614554146624,-1.6076048971715595,1.4442785670694311
2020-02-26,0.5623137137018348,-1.3237706292064477,-1.5697344313600203,1.4951853428364257
2020-02-27,0.3204094200356682,-1.3664592926272978,-1.7892655769997938,1.8397900064232218
2020-02-28,0.34061834394694135,-1.548334536154168,-2.1242603940742026,2.222494364965113
2020-03-02,0.4156668417184851,-1.5368334396575447,-2.047348645190814,2.198160404038757
2020-03-03,0.34219506502268837,-1.5971685673012994,-2.088385067397489,2.2306742499307717
2020-03-04,0.36555250325725586,-1.5993508897669,-2.0900434840996,2.3473534591370067
2020-03-05,-0.04052523873826407,-1.5989758823795601,-2.0945664117103266,2.4595765343158607
2020-03-06,-0.31062152170741575,-1.7151870569553405,-2.091381473213255,2.688893159551236
2020-03-09,-1.386804523841063,-1.9598097883264238,-2.571646784115566,3.397351498604969
2020-03-10,-1.5885418011522512,-1.938399739747757,-2.5577456809919226,3.4461925002875944
2020-03-11,-2.1317816990068117,-1.950159692917753,-2.584531162963035,3.804719440653708
2020-03-12,-3.6238790752220145,-2.4863975228489674,-3.6214736510737335,4.880034149487505
2020-03-13,-3.6618207018598063,-2.5257044889029876,-3.56722095125933,4.676502457039506
2020-03-16,-4.57536536065019,-3.457916290720229,-4.307426643776774,4.730978418593278
2020-03-17,-4.677568193543962,-3.4937307926487655,-4.193675695686275,4.566945795362619
2020-03-18,-5.185948989880718,-3.9803159645208415,-4.642132497415436,4.456228196036887
2020-03-19,-5.21388785280103,-3.9839178714961236,-4.5562444096384525,4.326134650044975
2020-03-20,-5.2756801477230235,-4.122739541090932,-4.664286997392446,3.9116683522239493
2020-03-23,-5.480544588665193,-4.7788503851944455,-4.83928952952936,4.276082198533854
2020-03-24,-5.472943252130335,-4.737794549803095,-5.016776020618796,4.083077389372786
2020-03-25,-5.357346598881467,-4.81800096917847,-5.065487556486811,4.125292439110648
2020-03-26,-5.291286988869624,-5.2819188412990545,-5.081376235381228,4.153549409008619
2020-03-27,-5.517912551900015,-5.567853878017166,-5.303779758353421,4.32918642338193
2020-03-30,-5.485441791519869,-5.6027900772088355,-5.162702079583309,4.342180807888458
2020-03-31,-5.642527746802138,-5.636825416194773,-5.131513916924804,4.205309832019847
2020-04-01,-5.741049001184462,-5.70443610423579,-5.211519315795624,4.254518016416092
2020-04-02,-5.721336478475551,-5.830789425352556,-5.114089445761717,4.132296170513941
2020-04-03,-5.86707989003809,-5.925548303291672,-5.09299888796691,4.09510231290272
2020-04-06,-5.817228555209956,-6.105459223988571,-4.863796858354432,3.894659586546935
2020-04-07,-5.756113340805051,-6.333932204534394,-4.889599021238107,3.8680413016975854
2020-04-08,-5.6352626432226955,-6.2789762188920335,-5.001833013610051,4.032346913524886
2020-04-09,-5.7129669327714465,-6.421592161003344,-4.924109198160819,3.888686066513485
2020-04-10,-5.7064078577497215,-6.3421304269285805,-4.862058071331116,3.857335055028575
2020-04-13,-5.610247492279414,-6.441630220410419,-4.850778458242023,3.834975083455431
2020-04-14,-5.655140011311523,-6.35171907057352,-4.7608211236421925,3.6879940278218286
2020-04-15,-5.698158561778731,-6.5435504739479295,-4.890273994004013,3.9278514692972046
2020-04-16,-5.764440598760721,-6.471788016429851,-4.838268723825027,3.8602289705670634
2020-04-17,-5.69735884808231,-6.420781931006766,-4.781361894036493,3.759981815793245
2020-04-20,-5.461787433434612,-6.561117275202653,-4.6068666289606295,3.557474967495995
2020-04-21,-5.33428180000712,-6.562081176939653,-4.724867438872147,3.773086582256634
2020-04-22,-5.077796568074144,-6.58120893074517,-4.665436876075039,3.5576090638795885
2020-04-23,-4.687369346323561,-6.454536077677254,-4.090487252438324,2.712270499134177
2020-04-24,-4.606755871395027,-6.417786186889279,-4.0806874218608336,2.7287341764395694
2020-04-27,-4.049157271785576,-6.088891947180448,-3.6540631207507626,2.7679041099305204
2020-04-28,-3.810614867539853,-5.9542963504471595,-3.626383011844326,2.5904471776053306
2020-04-29,-3.538947342135182,-5.680507311373357,-3.1972073865691253,2.4633051201073326
2020-04-30,-3.769174668454413,-5.822761103299575,-3.2886305969124825,2.402726599627101
2020-05-01,-3.9561465460102947,-5.694095789614712,-3.0438111879723913,2.536423508703966
2020-05-04,-3.923195228366984,-5.228926480000354,-2.8975744237007257,2.5074260258480767
2020-05-05,-3.635201608370247,-5.151097879726786,-2.597191264933771,2.4822942822637155
2020-05-06,-3.4750114404033408,-4.9067227984929165,-2.367726783383428,2.5607163080656115
2020-05-07,-3.577925306001185,-4.701143105086037,-2.177482133046445,2.4290145100770455
2020-05-08,-3.462440441580843,-4.583745298331616,-1.9000416826836208,2.4460445318679773
2020-05-11,-4.038873111807581,-4.52637331547959,-2.0476072220829344,2.5130459736905815
2020-05-12,-4.637873443354759,-4.4412321731385696,-1.983891908331809,2.3948515681553713
2020-05-13,-4.643047674651532,-4.440437951983384,-1.9543342165987403,2.405624752234088
2020-05-14,-4.581320867622647,-4.071313975914217,-2.0185273663214844,2.5285916436029363
2020-05-15,-4.594643112169075,-4.023639043571417,-1.976696223674808,2.5492595521621304
2020-05-18,-4.33592880244213,-4.033667817045225,-1.8370237691925557,2.3386960449135095
2020-05-19,-4.3159740580432375,-3.643141894098244,-1.7925084871106727,2.3858822528815926
2020-05-20,-4.245470691058976,-3.5610483236554376,-1.7392624883682006,2.3946130557893026
2020-05-21,-4.105423908026122,-3.4270120601862732,-1.8748267513499537,2.451831423329252
2020-05-22,-4.170160824356806,-3.4009768463021506,-2.034945714520982,2.487968327733299
2020-05-25,-4.064533071408466,-3.342066537341145,-2.043506714592534,2.460238313943236
2020-05-26,-4.028769666972917,-3.26461019369081,-1.8333039967442772,2.361790420312262
2020-05-27,-3.911072114508353,-3.2091965756171996,-1.7502725121553129,2.399157023066481
2020-05-28,-3.9146414350681287,-2.960464333088356,-1.7299506083167397,2.417897990206787
2020-05-29,-4.029060248906802,-2.897492317866487,-1.7839559596774337,2.3894985176568175
2020-06-01,-3.9572180741483916,-2.838073149004767,-1.7371986515915103,2.413778267212692
2020-06-02,-3.8596459403085523,-2.669158896340612,-1.6560561168992738,2.3272881612573126
2020-06-03,-3.783171278431556,-2.7638180515828323,-1.648842525067917,2.3077883255719667
2020-06-04,-3.6286745470871686,-2.710573056514246,-1.6427874664438562,2.257188067052154
2020-06-05,-3.4350859906935782,-2.6778545639106133,-1.6158471667255263,2.1622262925162286
2020-06-08,-3.2483382780224836,-2.6620586172078364,-1.6424420198504621,2.1430425679215355
2020-06-09,-3.175715217476302,-2.678904261256705,-1.6774346865042036,2.1747280334699286
2020-06-10,-3.3341775255501753,-2.6529176819074203,-1.765027080269203,2.067461991741971
2020-06-11,-3.2649474261764,-2.3828531556864903,-1.8109085132565443,2.065882902993732
2020-06-12,-3.28500784289972,-2.3286191540950107,-1.6298726936830916,2.1884852365032557
