date,country_code,stability_index,outlook,positive_driver_1_name,positive_driver_1_value,negative_driver_1_name,negative_driver_1_value,positive_driver_2_name,positive_driver_2_value,negative_driver_2_name,negative_driver_2_value,positive_driver_3_name,positive_driver_3_value,negative_driver_3_name,negative_driver_3_value
2024-12-30,BRA,-0.31446113197831,Neutral,^Bvsp,0.6096308385886944,^Bvsp Volatility,-0.5611282912067754,Brlusd=X,0.18310938539892224,Brlusd=X Volatility,-0.5291089060182584,Brlusd=X Volatility,-0.5291089060182584,Brlusd=X,0.18310938539892224
2024-12-30,IND,2.025740119239255,Neutral,^Nsei,0.5497655251032256,Inrusd=X Volatility,-0.5237491827266242,Inrusd=X,-0.4377103709667151,^Nsei Volatility,-0.48151250466560847,^Nsei Volatility,-0.48151250466560847,Inrusd=X,-0.4377103709667151
2024-12-30,ZAF,1.921875437717625,Neutral,^J203.Jo,0.7157710271722281,^J203.Jo Volatility,-0.6180102352504397,Zarusd=X Volatility,0.09513870897253468,Zarusd=X,-0.310940206215841,Zarusd=X,-0.310940206215841,Zarusd=X Volatility,0.09513870897253468
2024-12-30,POL,-0.7405785092110206,Bullish,^Wig20 Volatility,0.6277853542979193,^Wig20,-0.6269369943086598,Plnusd=X,0.4553004008928403,Plnusd=X Volatility,-0.07441168619966865,Plnusd=X Volatility,-0.07441168619966865,Plnusd=X,0.4553004008928403
