,BRA,IND,ZAF,POL
2020-02-13 00:00:00,1.3528448118498815,-1.5917961676163925,-1.104179900578779,0.9514970196355274
2020-02-14 00:00:00,1.2857034459939785,-1.5603033945889335,-1.092631789885794,0.9397179301375059
2020-02-17 00:00:00,1.3083344872659595,-1.478260944643243,-1.0602038114078485,0.9376169439376969
2020-02-18 00:00:00,1.2575786746169826,-1.5110439321217666,-1.0896297361699119,0.9013590268106423
2020-02-19 00:00:00,1.2840369622698844,-1.4550450082735156,-1.071428218967333,0.8379784632636341
2020-02-20 00:00:00,1.166198629016909,-1.2264961176006162,-1.0937889937084033,0.8311098642788403
2020-02-21 00:00:00,1.0978835371523774,-1.1929884787068799,-1.102151874305994,0.8325125844192512
2020-02-24 00:00:00,1.1425090747181852,-1.3018801463444782,-1.6276327184415467,1.2518392758546377
2020-02-25 00:00:00,1.2490271078710462,-1.2608846768379323,-1.6086479150856283,1.4462787923327733
2020-02-26 00:00:00,0.5637696050896477,-1.3235026596277326,-1.5707011969005615,1.4970963771598318
2020-02-27 00:00:00,0.3216769301750529,-1.3661969214479701,-1.7900685116305421,1.8413186984080796
2020-02-28 00:00:00,0.3418131531401029,-1.548109166144594,-2.124648384020247,2.223154322628203
2020-03-02 00:00:00,0.4169465781143367,-1.536609371456933,-2.04740482459593,2.1990453254076363
2020-03-03 00:00:00,0.34339760708865513,-1.5970057415419718,-2.0882967107207584,2.23111962457737
2020-03-04 00:00:00,0.3666735182817403,-1.599208282832848,-2.0899539684772743,2.3476441704239086
2020-03-05 00:00:00,-0.03963008701801,-1.5988655482634435,-2.094604636077556,2.4597063899125176
2020-03-06 00:00:00,-0.309816705535585,-1.7150922889334537,-2.0911001151937723,2.6888653018111106
2020-03-09 00:00:00,-1.386185323723521,-1.9597593253367147,-2.5704528670959252,3.3963039655203446
2020-03-10 00:00:00,-1.5882919663288393,-1.9383575059104678,-2.5565196469496367,3.445143821972379
2020-03-11 00:00:00,-2.1315501990033625,-1.95011549411982,-2.583373215517756,3.8032145221303213
2020-03-12 00:00:00,-3.6243675820201666,-2.4864782912393624,-3.619154642953676,4.876989465584656
2020-03-13 00:00:00,-3.6622843785537995,-2.5258301634584046,-3.564693230663843,4.672032780738085
2020-03-16 00:00:00,-4.576121559023364,-3.4582863546793745,-4.304459649749455,4.72649954540108
2020-03-17 00:00:00,-4.678628057388037,-3.4941591648315917,-4.190432201566979,4.561961354958443
2020-03-18 00:00:00,-5.187126355235806,-3.9808546206424134,-4.638678137123809,4.449852575046532
2020-03-19 00:00:00,-5.215221207443774,-3.9844862110240564,-4.55234501416107,4.3197343401055
2020-03-20 00:00:00,-5.277014677300383,-4.123371509496475,-4.659831077299086,3.9013639188476286
2020-03-23 00:00:00,-5.481866689941057,-4.779619529503747,-4.834556983169865,4.264992408134616
2020-03-24 00:00:00,-5.474424254723063,-4.7385890096770416,-5.011514303504075,4.071558638237524
2020-03-25 00:00:00,-5.358756446833855,-4.818863474095122,-5.060077708958664,4.113737021448137
2020-03-26 00:00:00,-5.292614608321232,-5.282929048893105,-5.07583145225276,4.14166419027385
2020-03-27 00:00:00,-5.519268520862672,-5.568938362950223,-5.298143833966794,4.316332743190346
2020-03-30 00:00:00,-5.486902123955295,-5.603889843641082,-5.156631745597545,4.329345459149896
2020-03-31 00:00:00,-5.644161777135864,-5.637946662046509,-5.12535714631197,4.192331834230641
2020-04-01 00:00:00,-5.742719760800104,-5.705558192273016,-5.205395483597305,4.241372038574601
2020-04-02 00:00:00,-5.723066999246404,-5.832054424967722,-5.107672268816032,4.118737755374893
2020-04-03 00:00:00,-5.868851533789523,-5.926825277022906,-5.086418871113956,4.081585647316776
2020-04-06 00:00:00,-5.819128133767268,-6.1067750768149125,-4.856697790127435,3.8811999535874078
2020-04-07 00:00:00,-5.757938313946624,-6.335338082456205,-4.882347849873114,3.8546522366503875
2020-04-08 00:00:00,-5.636998594131953,-6.280384117393258,-4.994606409466145,4.018589539611804
2020-04-09 00:00:00,-5.714617319782866,-6.423045605516379,-4.916858398677607,3.875021844864084
2020-04-10 00:00:00,-5.708034378325444,-6.343582136490494,-4.854962356816485,3.843860451859737
2020-04-13 00:00:00,-5.611839320313346,-6.443096220834708,-4.843729501252512,3.8215186268962174
2020-04-14 00:00:00,-5.656892836432952,-6.3531789153487255,-4.753805207624253,3.6750556732275945
2020-04-15 00:00:00,-5.699876083984904,-6.545046961766468,-4.883133335210464,3.9146396563874135
2020-04-16 00:00:00,-5.766278948838578,-6.473309613611935,-4.8309967020162246,3.8467179402429954
2020-04-17 00:00:00,-5.699177429232714,-6.422310438728089,-4.774106484756737,3.74664233862774
2020-04-20 00:00:00,-5.463558390837487,-6.562672983400199,-4.599901862637629,3.5446127384579253
2020-04-21 00:00:00,-5.336106941249202,-6.563641522212683,-4.71788718063065,3.7599250157197863
2020-04-22 00:00:00,-5.079531318983437,-6.582778572659195,-4.658406795664832,3.5445686723352385
2020-04-23 00:00:00,-4.689172899345584,-6.4560657022270975,-4.084063883131036,2.699503323020673
2020-04-24 00:00:00,-4.6086435022831385,-6.4192963122162405,-4.074259339583864,2.7162948344504785
2020-04-27 00:00:00,-4.050979293286025,-6.090291827955025,-3.6483341156777107,2.755413276577786
2020-04-28 00:00:00,-3.812438038364249,-5.955645845966183,-3.6207642562522944,2.578267790750887
2020-04-29 00:00:00,-3.5406156791511183,-5.681780375496235,-3.192145780387196,2.4519155673648347
2020-04-30 00:00:00,-3.7707399177237266,-5.824066010718794,-3.283805622784875,2.391512162856279
2020-05-01 00:00:00,-3.9580051478861935,-5.695379402783058,-3.039026148499789,2.528473305759725
