,"('GDP growth (annual %)', 'Brazil')","('GDP growth (annual %)', 'India')","('GDP growth (annual %)', 'Poland')","('GDP growth (annual %)', 'South Africa')","('Inflation, consumer prices (annual %)', 'Brazil')","('Inflation, consumer prices (annual %)', 'India')","('Inflation, consumer prices (annual %)', 'Poland')","('Inflation, consumer prices (annual %)', 'South Africa')",ABEV3.SA,ANH.JO,BAJFINANCE.NS,BBDC4.SA,BHARTIARTL.NS,BHP,BRLUSD=X,CDR.WA,CFR.JO,DNP.WA,FSR.JO,GGBR4.SA,GLN.JO,HDB,HINDUNILVR.NS,ICICIBANK.NS,INFY,INRUSD=X,ITUB,KGH.WA,KOTAKBANK.NS,LPP.WA,LREN3.SA,MBK.WA,MGLU3.SA,MTN.JO,NPN.JO,PEO.WA,PETR4.SA,PKO.WA,PLNUSD=X,PZU.WA,RELIANCE.NS,RENT3.SA,SBIN.NS,SBK.JO,SOL.JO,SPL.WA,TCS.NS,TPE.WA,VALE,VOD.JO,WEGE3.SA,ZARUSD=X,^BVSP,^J203.JO,^NSEI,^WIG20,BRLUSD=X_volatility,INRUSD=X_volatility,PLNUSD=X_volatility,ZARUSD=X_volatility,^BVSP_volatility,^J203.JO_volatility,^NSEI_volatility,^WIG20_volatility
2020,-3.2767587964736,-5.77772470686801,-2.03556882399977,-6.1689177146757,3.21176803803373,6.62343677628536,3.37446972618589,3.23238831615119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,4.76260437908608,9.68959249192875,6.92718266052501,4.95503259440756,8.30165975585677,5.13140747176368,5.05502704719269,4.61874544887136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3.01669435393015,7.60936497768895,5.25545697386036,1.91147996033504,9.28010608956872,6.69903414079849,14.4294507575758,7.03987272546481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3.24165532906981,9.19075493028345,0.249610834017872,0.698485193724835,4.59356282283203,5.64914318907929,11.5289127961105,6.07524384579656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3.39586645454844,6.48422363033757,2.9233880806669,0.579853692303914,4.36746407652335,4.95303550973652,3.78426007512869,4.36115246518963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18 00:00:00,,,,,,,,,12.707688331604004,103274.40625,733.7659301757812,13.566740036010742,859.432861328125,55.42910385131836,0.2080819010734558,157.72186279296875,294181.9375,47.18999862670898,7070.46630859375,20.78854179382324,10599.40234375,34.163780212402344,2580.100830078125,951.8836669921876,16.865280151367188,0.0121859675273299,4.48489236831665,113.73243713378906,1885.0526123046875,13351.818359375,14.726083755493164,466.0,26.877058029174805,13510.4404296875,66652.0234375,92.82478332519533,20.20110321044922,34.498661041259766,0.253067284822464,30.694286346435547,1287.52587890625,63.060394287109375,571.1126098632812,18547.654296875,23287.265625,333.0985107421875,3298.7626953125,3.4600000381469727,11.23849105834961,11412.333984375,34.42045974731445,0.055493276566267,117841.0,77098.546875,19749.25,,0.10416264079875269,0.028937801734143717,0.10137341620850733,0.1501496927197335,0.14673930709941746,0.1588371404974899,0.07881656673258691,0.0
2023-07-19 00:00:00,,,,,,,,,12.673039436340332,104598.3828125,750.0531005859375,13.51761531829834,854.8187866210938,54.80508804321289,0.2079304754734039,158.26589965820312,290215.0625,47.400001525878906,7049.49755859375,20.71302795410156,10454.4091796875,34.08163833618164,2569.329345703125,949.9320068359376,16.704927444458008,0.0121839186176657,4.454120635986328,113.3436050415039,1900.7542724609373,13314.8837890625,14.505805015563965,465.7999877929688,26.695457458496094,13449.4833984375,67481.9765625,93.27104949951172,20.390295028686523,34.45547866821289,0.2524375915527344,30.686376571655277,1297.294921875,63.26075744628906,579.8864135742188,18502.732421875,23658.0625,326.0318298339844,3273.480712890625,3.3410000801086426,11.254511833190918,11390.357421875,36.30717086791992,0.0559769384562969,117552.0,77080.96875,19833.150390625,,0.10409351471256033,0.028946472265447245,0.1018335658176773,0.1512696710393489,0.14565469956443447,0.1584803088135839,0.07778345113527148,0.0
2023-07-20 00:00:00,,,,,,,,,12.92424774169922,105485.375,751.2299194335938,13.525800704956056,868.6607666015625,55.04926300048828,0.2087726294994354,158.46372985839844,283090.28125,47.2400016784668,7034.51953125,20.780990600585938,10810.3896484375,34.3087272644043,2599.767822265625,971.546875,15.299487113952637,0.0121859526261687,4.5310492515563965,114.31568145751952,1950.9000244140625,12982.4736328125,14.587389945983888,463.1000061035156,26.33225440979004,13487.4560546875,65312.09765625,92.82478332519533,20.411312103271484,34.23953628540039,0.2519120573997497,30.417404174804688,1295.723876953125,63.73435592651367,588.1780395507812,18495.74609375,23382.212890625,325.8712158203125,3275.608642578125,3.390000104904175,11.254511833190918,11293.46484375,36.54659271240234,0.05607371032238,118083.0,77016.828125,19979.150390625,,0.10416585134703095,0.02864022357009187,0.10167498735698638,0.1510250513547664,0.14607235803023463,0.15844158682334347,0.07653522820738454,0.0
2023-07-21 00:00:00,,,,,,,,,13.253418922424316,105064.375,749.761474609375,13.96792697906494,869.7897338867188,54.93170166015625,0.2084679752588272,158.01861572265625,288785.0625,47.5,7031.52392578125,20.55445098876953,10859.38671875,34.03815460205078,2504.317138671875,972.9130859375,15.374947547912598,0.012182880192995,4.638747692108154,113.05198669433594,1964.1593017578125,13093.2763671875,14.930045127868652,454.7000122070313,27.421863555908203,13390.5244140625,64805.5234375,91.44539642333984,20.79669761657715,34.058143615722656,0.2500757575035095,30.67846298217773,1255.6134033203125,64.0531234741211,593.0469360351562,18477.775390625,23443.181640625,326.0318298339844,3185.75732421875,3.4649999141693115,11.366656303405762,11290.46875,37.24573516845703,0.0558350086212158,120217.0,76826.6328125,19745.0,,0.10436913949312349,0.02838182820328547,0.10103818276383227,0.14861843950298864,0.1502527080831786,0.1585817945286033,0.08501321953661942,0.0
2023-07-24 00:00:00,,,,,,,,,13.097496032714844,103465.3984375,749.7466430664062,13.591303825378418,871.9004516601562,55.609981536865234,0.2093188762664795,156.53488159179688,283160.28125,48.0,7087.44091796875,21.158552169799805,10949.3818359375,33.84972381591797,2481.4765625,968.0338745117188,15.299487113952637,0.0121965641155838,4.600285530090332,113.73243713378906,1891.4329833984373,13342.5849609375,15.386922836303713,461.0,27.331064224243164,13465.4716796875,64926.9140625,92.62193298339844,21.231128692626957,34.37773513793945,0.2492309957742691,30.76548194885254,1230.2166748046875,63.34273147583008,595.5055541992188,18667.443359375,23869.947265625,325.2287902832031,3210.77392578125,3.5160000324249268,11.78319263458252,11496.240234375,39.93278121948242,0.055741049349308,121342.0,76766.0703125,19672.349609375,,0.10194701688256029,0.028500027249830365,0.10174334255041194,0.14788181980275122,0.1521558167306736,0.15655156575878373,0.08663293449568396,0.0
2023-07-25 00:00:00,,,,,,,,,13.01953411102295,102783.4140625,752.2040405273438,13.54217529296875,867.4827270507812,58.05179214477539,0.2116178125143051,156.04029846191406,280277.375,47.59999847412109,7085.44384765625,21.898571014404297,10996.37890625,34.06231689453125,2469.839599609375,970.6686401367188,15.450407028198242,0.0122228171676397,4.615668296813965,119.56486511230467,1869.74951171875,13222.546875,15.207438468933104,464.2999877929688,27.87586784362793,13539.419921875,66351.2421875,92.33794403076172,21.72161674499512,34.24817657470703,0.2486385703086853,31.880918502807617,1229.425537109375,62.076778411865234,587.744140625,18675.43359375,24366.67578125,324.42578125,3214.935302734375,3.595000028610229,12.151668548583984,11631.0908203125,38.93302536010742,0.0564170740544796,122008.0,77525.6171875,19680.599609375,,0.10593960934638404,0.02889173555491449,0.10218175229014946,0.15019264440530175,0.15147858942232614,0.14767207112786507,0.08576125192464423,0.0
2023-07-26 00:00:00,,,,,,,,,12.97622299194336,103561.3984375,735.0663452148438,13.681364059448242,873.1276245117188,57.0841064453125,0.2105750888586044,156.13922119140625,277326.53125,47.5,7147.3515625,21.936328887939453,10749.3935546875,34.21208953857422,2484.409423828125,972.3764038085938,15.67678928375244,0.0122025469318032,4.654132843017578,117.45777893066406,1889.489013671875,12880.9033203125,15.501141548156738,469.8999938964844,28.057470321655277,13680.3203125,65995.4609375,92.5002212524414,21.72161674499512,34.196346282958984,0.2494091987609863,31.32715606689453,1249.4063720703125,61.97660446166992,593.09521484375,18789.234375,23841.962890625,321.213623046875,3204.67333984375,3.549999952316284,12.095598220825195,11720.9912109375,38.913795471191406,0.0570759959518909,122560.0,77546.3828125,19778.30078125,,0.10727668622091435,0.02937121733827132,0.10014439936309524,0.15236030475472429,0.14146018483638265,0.14739006030736665,0.08627957180146752,0.0
2023-07-27 00:00:00,,,,,,,,,12.733675956726074,104285.390625,720.3267822265625,13.3702392578125,878.7723999023438,56.107383728027344,0.2111397385597229,162.51930236816406,285741.21875,46.0099983215332,7222.23974609375,21.50590705871582,10693.396484375,32.98488235473633,2471.474609375,966.326171875,15.686219215393066,0.0121987666934728,4.538742065429688,117.70278930664062,1868.0050048828125,12668.5302734375,15.199277877807615,477.0,28.783878326416016,14059.0517578125,66505.03125,95.46185302734376,20.593494415283203,34.96509552001953,0.2505035102367401,32.15780258178711,1237.7838134765625,60.24617767333984,594.4449462890625,19178.5546875,24800.4375,321.213623046875,3212.806884765625,3.578000068664551,11.847275733947754,11943.7431640625,38.788822174072266,0.0567855946719646,119990.0,78267.25,19659.900390625,,0.10420910264370181,0.028118040187547242,0.09416510404954023,0.1474348539684988,0.15511880395960317,0.1488778222210345,0.08782917133423668,0.0
2023-07-28 00:00:00,,,,,,,,,12.958897590637209,104200.390625,729.9685668945312,13.51761531829834,878.7233276367188,55.46527862548828,0.2108992785215377,162.61822509765625,284190.28125,45.91999816894531,7258.18701171875,21.430397033691406,10592.40234375,32.89791488647461,2485.659912109375,972.1324462890624,15.525866508483888,0.0121396202594041,4.615668296813965,117.9968032836914,1871.095458984375,12640.8291015625,15.207438468933104,477.0,28.783878326416016,14020.080078125,69214.484375,95.78641510009766,20.852752685546875,34.9996452331543,0.2482503354549408,32.276466369628906,1250.2225341796875,60.78351974487305,593.962890625,18977.904296875,24572.564453125,322.9803161621094,3173.55615234375,3.565000057220459,11.406708717346191,11895.7978515625,38.75997924804688,0.0562143586575984,120187.0,78506.8984375,19646.05078125,,0.10430649794058006,0.031039940266550797,0.09504764799586167,0.15037070604581865,0.15466204691481233,0.1491545508789896,0.08640524968260051,0.0
2023-07-31 00:00:00,,,,,,,,,12.872272491455078,102598.4140625,721.9288330078125,13.640425682067873,873.6184692382812,56.6590576171875,0.2117163836956024,161.57962036132812,288191.15625,44.630001068115234,7268.171875,22.087350845336918,10864.38671875,32.989715576171875,2462.77099609375,974.181640625,15.714518547058104,0.0121576404199004,4.623363018035889,121.5739517211914,1850.8577880859373,12742.3984375,15.297179222106934,478.2000122070313,30.418291091918945,13995.09765625,70278.4296875,95.98926544189452,21.798696517944336,35.120574951171875,0.2498713731765747,32.062870025634766,1260.8065185546875,61.220680236816406,597.9641723632812,19066.75,24834.419921875,319.125732421875,3236.026611328125,3.723000049591065,11.719111442565918,11783.9208984375,38.375465393066406,0.0568246394395828,121943.0,78977.890625,19753.80078125,,0.1047655408537872,0.03141388968836512,0.09650146893320061,0.15311630733742537,0.15805117613959527,0.14876029657707301,0.08573235058435058,0.0
